Entry_No,Posting_Date,Document_Type,Document_No,External_Document_No,Transaction_No,G_L_Account_No,Description,Amount,Debit_Amount,Credit_Amount,Source_Code,Source_Type,Source_No,Dimension_Set_ID,Global_Dimension_1_Code,Global_Dimension_2_Code,Business_Unit_Code,IC_Partner_Code,User_ID,Reversed,Reversed_by_Entry_No,Reversed_Entry_No
28,2026-01-31,,WB-2026-01,,28,B55490,DUE TO/FROM ZAMARA HOLDING CO.,295836342.4,295836342.4,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
29,2026-01-31,,WB-2026-01,,29,B55520,DUE TO/FROM UGANDA,24914464.38,24914464.38,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
30,2026-01-31,,WB-2026-01,,30,B60090,EQUITY BANK,2057833.5,2057833.5,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
31,2026-01-31,,WB-2026-01,,31,B60110,KENYA COMMERCIAL BANK,797345.4,797345.4,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
32,2026-01-31,,WB-2026-01,,32,B60160,NCBA Bank-US$ OFFICE,12760029.6,12760029.6,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
33,2026-01-31,,WB-2026-01,,33,B60180,NCBA Office Bank Account,22150447.59,22150447.59,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
34,2026-01-31,,WB-2026-01,,34,B60190,PETTY CASH - OFFICE,205000.0,205000.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
35,2026-01-31,,WB-2026-01,,35,B60210,SBM Bank Account-Office Account,125436.38,125436.38,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
36,2026-01-31,,WB-2026-01,,36,B60260,UBA Office Account,23030.82,23030.82,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
37,2026-01-31,,WB-2026-01,,37,B60270,NATIONAL BANK OF KENYA,28206.97,28206.97,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
38,2026-01-31,,WB-2026-01,,38,B60310,SUNDEEP RAICHURA PREPAID CARD,99375.0,99375.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
39,2026-01-31,,WB-2026-01,,39,B60320,ROBERT NJOROGE PREPAID CARD,18000.0,18000.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
40,2026-01-31,,WB-2026-01,,40,B60330,JAY KOSGEI PREPAID CARD,571.8,571.8,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
41,2026-01-31,,WB-2026-01,,41,B60340,NIKHIL DODHIA PREPARD CARD,37160.0,37160.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
42,2026-01-31,,WB-2026-01,,42,B60350,ADIL SULEMAN PREPAID CARD,1794.0,1794.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
43,2026-01-31,,WB-2026-01,,43,B60360,ANTONY KILAVI PREPAID CARD,22694.29,22694.29,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
44,2026-01-31,,WB-2026-01,,44,B60370,PAUL KAMOCHE PREPAID CARD,41690.0,41690.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
45,2026-01-31,,WB-2026-01,,45,B60380,MICHAEL VAATI PRPAID CARD,100.0,100.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
46,2026-01-31,,WB-2026-01,,46,B60390,RAYMOND MUTHAMA PREPAID CARD,9063.33,9063.33,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
47,2026-01-31,,WB-2026-01,,47,B60400,KHALID OBULINJI PREPAID CARD,780.0,780.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
48,2026-01-31,,WB-2026-01,,48,B60401,CBA CARD CENTRE,502128.56,502128.56,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
49,2026-01-31,,WB-2026-01,,49,B60410,JAMBO JET- AIRTICKETS,580200.0,580200.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
50,2026-01-31,,WB-2026-01,,50,B60420,Premium Finance A/C,0.43,0.43,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
51,2026-01-31,,WB-2026-01,,51,B65110,Other Receivables - Disbursements,12318459.94,12318459.94,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
52,2026-01-31,,WB-2026-01,,52,B65120,Due to/from Nigeria,11820950.42,11820950.42,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
53,2026-01-31,,WB-2026-01,,53,B65130,Due from/to AFRIB Transactional,-183599764.42,0,183599764.42,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
54,2026-01-31,,WB-2026-01,,54,B65140,Dues to/from Rwanda,1451512.72,1451512.72,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
55,2026-01-31,,WB-2026-01,,55,B65160,Placements,19911431.83,19911431.83,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
56,2026-01-31,,WB-2026-01,,56,B65180,Debtors Prepaid other,35814484.41,35814484.41,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
57,2026-01-31,,WB-2026-01,,57,B65200,Provision for Bad Debts,9626956.73,9626956.73,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
58,2026-01-31,,WB-2026-01,,58,B65230,Tax Recoverable,-645459.95,0,645459.95,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
59,2026-01-31,,WB-2026-01,,59,B65240,VAT Receivable Debtor,79888529.77,79888529.77,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
60,2026-01-31,,WB-2026-01,,60,B65260,DUE FROM TANZANIA,12660344.09,12660344.09,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
61,2026-01-31,,WB-2026-01,,61,B65290,Withholding IncomeTax,6269217.36,6269217.36,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
62,2026-01-31,,WB-2026-01,,62,B65350,INVENTORY ACCOUNT,1943136.0,1943136.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
63,2026-01-31,,WB-2026-01,,63,B70130,Due to/from Dubai,5326761.24,5326761.24,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
64,2026-01-31,,WB-2026-01,,64,B70140,Zamara pension Scheme,-5190461.0,0,5190461.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
65,2026-01-31,,WB-2026-01,,65,B70141,Post retirement medical fund,-321500.0,0,321500.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
66,2026-01-31,,WB-2026-01,,66,B70142,ABSA LIFE CHECK OFF,-22042.0,0,22042.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
67,2026-01-31,,WB-2026-01,,67,B70150,Management fees-Subsidiary,-564153.67,0,564153.67,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
68,2026-01-31,,WB-2026-01,,68,B70160,DUE TO /From DRC,7642170.52,7642170.52,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
69,2026-01-31,,WB-2026-01,,69,B70180,Due to/from C & P/AFFS,-94669109.24,0,94669109.24,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
70,2026-01-31,,WB-2026-01,,70,B70190,Withholding tax 5 %,5320.5,5320.5,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
71,2026-01-31,,WB-2026-01,,71,B70195,Withholding VAT 2%-Creditors,51027.44,51027.44,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
72,2026-01-31,,WB-2026-01,,72,B70200,C&P Coop Sacco,-2405620.0,0,2405620.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
73,2026-01-31,,WB-2026-01,,73,B70210,Social Health Insurance Fund,-1382775.0,0,1382775.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
74,2026-01-31,,WB-2026-01,,74,B70220,National Social Security Fund,-1704748.0,0,1704748.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
75,2026-01-31,,WB-2026-01,,75,B70230,Paymaster General (PAYE,-12546428.0,0,12546428.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
76,2026-01-31,,WB-2026-01,,76,B70240,STANBIC CHECK OFF,-62997.0,0,62997.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
77,2026-01-31,,WB-2026-01,,77,B70250,Bonus Provision : New Business,0.27,0.27,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
78,2026-01-31,,WB-2026-01,,78,B70260,Stanchart Check off,-398227.0,0,398227.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
79,2026-01-31,,WB-2026-01,,79,B70270,Vuna Pension Plan,-143000.0,0,143000.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
80,2026-01-31,,WB-2026-01,,80,B70280,Prov-Sundries,-10346691.1,0,10346691.1,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
81,2026-01-31,,WB-2026-01,,81,B70310,Higher education loan Board,-175707.0,0,175707.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
82,2026-01-31,,WB-2026-01,,82,B70340,CRS-Trade (Operating),-61518400.29,0,61518400.29,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
83,2026-01-31,,WB-2026-01,,83,B70360,Welfare Fund Contributons,-285199.12,0,285199.12,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
84,2026-01-31,,WB-2026-01,,84,B70390,Equity Check off,-147939.0,0,147939.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
