Entry_No,Posting_Date,Document_Type,Document_No,External_Document_No,Transaction_No,G_L_Account_No,Description,Amount,Debit_Amount,Credit_Amount,Source_Code,Source_Type,Source_No,Dimension_Set_ID,Global_Dimension_1_Code,Global_Dimension_2_Code,Business_Unit_Code,IC_Partner_Code,User_ID,Reversed,Reversed_by_Entry_No,Reversed_Entry_No
33,2026-01-31,,WB-2026-01,,33,4010,Petty Cash,278.0,278.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
34,2026-01-31,,WB-2026-01,,34,4017,Bank Account (ZAMARA AAIB LTD),119634965.0,119634965.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
35,2026-01-31,,WB-2026-01,,35,4018,Investments,7402500.0,7402500.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
36,2026-01-31,,WB-2026-01,,36,4019,NCBA Account USD,391623.0,391623.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
37,2026-01-31,,WB-2026-01,,37,4021,Bank account-Equity Bank,25452.0,25452.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
38,2026-01-31,,WB-2026-01,,38,4022,Staff debtors,500000.0,500000.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
39,2026-01-31,,WB-2026-01,,39,4025,Rent Deposit,2450875.0,2450875.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
40,2026-01-31,,WB-2026-01,,40,4065,Term deposit,150000000.0,150000000.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
41,2026-01-31,,WB-2026-01,,41,5010,Trade Debtors,126681743.1,126681743.1,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
42,2026-01-31,,WB-2026-01,,42,5011,Income Tax Payable,-11339433.0,0,11339433.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
43,2026-01-31,,WB-2026-01,,43,5040,Vat Payable,-13676623.0,0,13676623.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
44,2026-01-31,,WB-2026-01,,44,5045,Witholding tax payable,-5043676.5,0,5043676.5,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
45,2026-01-31,,WB-2026-01,,45,5046,Withholding tax recovarable,471027.4,471027.4,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
46,2026-01-31,,WB-2026-01,,46,5080,Other Payables,-3812883.27,0,3812883.27,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
47,2026-01-31,,WB-2026-01,,47,5085,RSSB .STAFF MATERNITY PAYBLE,-163512.98,0,163512.98,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
48,2026-01-31,,WB-2026-01,,48,5087,RSSB(0.5%),-89300.0,0,89300.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
49,2026-01-31,,WB-2026-01,,49,5130,PAYE Payable,-7440586.65,0,7440586.65,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
50,2026-01-31,,WB-2026-01,,50,5155,Deduction govement loan,-2.0,0,2.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
51,2026-01-31,,WB-2026-01,,51,5160,Deduction-Credit Caisse d'entreaide Payable,-166666.4,0,166666.4,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
52,2026-01-31,,WB-2026-01,,52,5185,Deduction- Loan CE,166666.0,166666.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
53,2026-01-31,,WB-2026-01,,53,5190,Net Salaries Payable,84.76,84.76,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
54,2026-01-31,,WB-2026-01,,54,6000,ZAMARA GROUP Payables,-15393191.0,0,15393191.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
55,2026-01-31,,WB-2026-01,,55,6005,Defereed tax payble,-4066373.0,0,4066373.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
56,2026-01-31,,WB-2026-01,,56,6100,Share Capital,-579261061.0,0,579261061.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
57,2026-01-31,,WB-2026-01,,57,6110,Retained Earnings,-20340166.1,0,20340166.1,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
58,2026-01-31,,WB-2026-01,,58,7000,GENERAL ACCOUNT PAYABLES,-16868548.8,0,16868548.8,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
59,2026-01-31,,WB-2026-01,,59,7001,Accrued Income,3516004.29,3516004.29,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
60,2026-01-31,,WB-2026-01,,60,7010,Tekana Scheme Employer contribution,232895.0,232895.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
61,2026-01-31,,WB-2026-01,,61,B55270,Sundry Debtors-SONARWA,992400.0,992400.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
62,2026-01-31,,WB-2026-01,,62,B55360,Deposits,12636442.0,12636442.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
63,2026-01-31,,WB-2026-01,,63,B60440,Bank account- ZAAIB,83486062.5,83486062.5,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
64,2026-01-31,,WB-2026-01,,64,B65190,Prepayments,25758546.0,25758546.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
65,2026-01-31,,WB-2026-01,,65,B70141,Tekana scheme Payable,3.4,3.4,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
66,2026-01-31,,WB-2026-01,,66,B70235,Salaries And Wages,27232669.0,27232669.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
67,2026-01-31,,WB-2026-01,,67,B70461,Deduction-Provident fund payable,-0.1,0,0.1,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
68,2026-01-31,,WB-2026-01,,68,B80201,Accrual audit fees,-3540000.0,0,3540000.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
69,2026-01-31,,WB-2026-01,,69,I10021,Interest income,-949588.0,0,949588.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
70,2026-01-31,,WB-2026-01,,70,I25360,Bank Charges,23780.0,23780.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
71,2026-01-31,,WB-2026-01,,71,I25380,Board Expenses,1450000.0,1450000.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
72,2026-02-28,,WB-2026-02,,72,1000,Brokerage Commission,-42024806.0,0,42024806.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
73,2026-02-28,,WB-2026-02,,73,2010,Rent,2450875.0,2450875.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
74,2026-02-28,,WB-2026-02,,74,2025,Marketing expenses,205086.0,205086.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
75,2026-02-28,,WB-2026-02,,75,2030,Travelling & Accommodation,4831287.0,4831287.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
76,2026-02-28,,WB-2026-02,,76,2100,Motor Vehicle Expenses,40000.0,40000.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
77,2026-02-28,,WB-2026-02,,77,2120,Insurance expenses,172540.0,172540.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
78,2026-02-28,,WB-2026-02,,78,2125,MEDICAL INSURANCE STAFF,2239459.0,2239459.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
79,2026-02-28,,WB-2026-02,,79,2160,Consultancy Fees,4089400.0,4089400.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
