Posting_Date,Line_Item,Amount_UGX,Amount_KES,Equity_Treatment_Code
2026-04-30,Share of profit,19167912.5,677616.7,SCI_SHARE_OF_PROFIT
2026-04-30,Investment in Associate,8625560.63,304927.51,SFP_INVESTMENT_IN_ASSOCIATE
