entity,period,statement,category_l1,category_l2,statement_line_code,line_label,line_order,dbt_kes,client_kes,difference,difference_pct,status,reason,note,client_as_stated_kes
C&P,2026-02,SFP,EQUITY AND LIABILITIES,Current Liabilities,premium_payable,Premium payable,500,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-02,SFP,EQUITY AND LIABILITIES,Current Liabilities,borrowings,Borrowings,510,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SCI,INCOME,Revenue,actuarial_fees,Actuarial Fees,10,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SCI,INCOME,Revenue,pension_admin_fee,Pension Admin Fee,20,12183190.24,12183190.24,0.0,0.0,tie,,,-12183190.24
C&P,2026-03,SCI,INCOME,Revenue,insurance_commissions,Insurance Commissions,40,0.0,49812.2,-49812.2,-100.0,DIFFERENCE,we show nothing,,-49812.2
C&P,2026-03,SCI,INCOME,Revenue,saas_income,SAAS (Software as a Service),50,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SCI,INCOME,Other income,other_income,Other Income,70,49812.2,0.0,49812.2,,DIFFERENCE,client shows nothing,,0.0
C&P,2026-03,SCI,EXPENSES,Operating expenses,personnel_costs,Personnel Costs,80,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SCI,EXPENSES,Operating expenses,travelling,Travelling,90,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SCI,EXPENSES,Operating expenses,entertainment,Entertainment,100,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SCI,EXPENSES,Operating expenses,it_costs,IT Costs,110,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SCI,EXPENSES,Operating expenses,communications,Communications,120,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SCI,EXPENSES,Operating expenses,printing_stationery,Printing & Stationery,130,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SCI,EXPENSES,Operating expenses,premises,Premises,140,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SCI,EXPENSES,Operating expenses,advertising_pr,Advertising & PR,150,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SCI,EXPENSES,Operating expenses,insurance,Insurance,160,1043385.24,1043385.24,0.0,0.0,tie,,,1043385.24
C&P,2026-03,SCI,EXPENSES,Operating expenses,professional_fees,Professional Fees,170,859649.99,859649.99,0.0,0.0,tie,,,859649.99
C&P,2026-03,SCI,EXPENSES,Operating expenses,depreciation,Depreciation,180,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SCI,EXPENSES,Operating expenses,motor_vehicle_expenses,Motor Vehicle Expenses,190,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SCI,EXPENSES,Operating expenses,general_expenses,General Expenses,200,1751734.01,1751734.01,0.0,0.0,tie,,,1751734.01
C&P,2026-03,SCI,EXPENSES,Operating expenses,management_expense,Management Expense,210,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SCI,EXPENSES,Finance costs,finance_costs,Finance cost,220,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SCI,EXPENSES,Taxation,taxation,Taxation,230,2573469.96,2573469.96,0.0,0.0,tie,,,2573469.96
C&P,2026-03,SFP,ASSETS,Non-Current Assets,ppe,"Property, Plant and Equipment",240,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SFP,ASSETS,Non-Current Assets,computer_software,Intangible - computer software,250,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SFP,ASSETS,Non-Current Assets,goodwill,Intangible - goodwill,260,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SFP,ASSETS,Non-Current Assets,investment_in_associate,Investment in associate,270,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SFP,ASSETS,Non-Current Assets,investment_unquoted_equity,Investment in unquoted equity securities,280,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SFP,ASSETS,Non-Current Assets,deposit_for_investment_in_subsidiary,Deposit for investment in subsidiary,290,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SFP,ASSETS,Non-Current Assets,deferred_tax,Deferred tax,310,4287361.0,4287361.0,0.0,0.0,tie,,,4287361.0
C&P,2026-03,SFP,ASSETS,Current Assets,trade_receivables,Trade Receivables (Debtors),320,45425713.42,45425713.42,0.0,0.0,tie,,,45425713.42
C&P,2026-03,SFP,ASSETS,Current Assets,premium_receivables,Premium Receivables,330,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SFP,ASSETS,Current Assets,other_receivables,Other Receivables,340,-7455174.98,-8150765.58,695590.6,-8.53,DIFFERENCE,classification,offset by Cash - Placements,-8150765.58
C&P,2026-03,SFP,ASSETS,Current Assets,due_from_to_related_parties,Due from/to related parties,350,94390230.57,94390230.57,0.0,0.0,tie,,,94390230.57
C&P,2026-03,SFP,ASSETS,Current Assets,office_cash,Cash - Office Cash,360,1455540.83,1455540.83,0.0,0.0,tie,,,1455540.83
C&P,2026-03,SFP,ASSETS,Current Assets,deposits,Cash - Deposits,380,22284303.0,22284303.0,0.0,0.0,tie,,,22284303.0
C&P,2026-03,SFP,ASSETS,Current Assets,placements,Cash - Placements,390,0.0,695590.6,-695590.6,-100.0,DIFFERENCE,we show nothing,,695590.6
C&P,2026-03,SFP,ASSETS,Current Assets,tax_recoverable,Tax recoverable,400,-1688303.96,-1688303.96,0.0,-0.0,tie,,,-1688303.96
C&P,2026-03,SFP,ASSETS,Current Assets,accrued_income,Accrued Income,410,12183190.24,12183190.24,0.0,0.0,tie,,,12183190.24
C&P,2026-03,SFP,EQUITY AND LIABILITIES,Equity,share_capital,Share capital,420,25000000.0,25000000.0,0.0,0.0,tie,,,-25000000.0
C&P,2026-03,SFP,EQUITY AND LIABILITIES,Equity,translation_reserve,Translation reserve,430,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SFP,EQUITY AND LIABILITIES,Equity,proposed_dividend,Proposed dividend,440,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SFP,EQUITY AND LIABILITIES,Equity,retained_earnings,Retained earnings,450,133494468.71,133494469.71,-1.0,-0.0,tie,,,-133494469.71
C&P,2026-03,SFP,EQUITY AND LIABILITIES,Equity,net_profit,Net Profit (derived),460,6004763.24,6004763.24,0.0,0.0,tie,,,-6004763.24
C&P,2026-03,SFP,EQUITY AND LIABILITIES,Equity,non_controlling_interests,Non-controlling interests,470,0.0,0.0,0.0,,tie,,,0.0
