entity,period,statement,lines_compared,lines_tying,lines_off,pct_tying,total_absolute_difference,largest_difference,dbt_income_or_assets,client_income_or_assets,dbt_expense_or_eandl,client_expense_or_eandl,income_or_assets_difference,expense_or_eandl_difference
ZAMRE,2026-03,SCI,20,20,0,100.0,0.0,0.0,26691735.44,26691735.44,14872749.78,14872749.78,0.0,0.0
ZAMRE,2026-03,SFP,24,24,0,100.0,0.0,0.0,181509844.27,181509844.26,181509844.27,181509844.26,0.01,0.01
ZAMRE,2026-04,SCI,20,20,0,100.0,0.0,0.0,32789652.0,32789652.0,19195953.11,19195953.11,0.0,0.0
ZAMRE,2026-04,SFP,24,24,0,100.0,0.0,0.0,232676855.7,232676855.7,232676855.7,232676855.7,0.0,0.0
ZAMRE,2026-05,SCI,20,20,0,100.0,0.0,0.0,36663784.82,36663784.82,22107554.51,22107554.52,0.0,-0.01
ZAMRE,2026-05,SFP,24,24,0,100.0,0.0,0.0,252939916.01,252939916.0,252939916.01,252939916.01,0.01,0.0
ZAMRE,2026-06,SCI,20,20,0,100.0,0.0,0.0,48547903.32,48547903.32,29499606.66,29499606.67,0.0,-0.01
ZAMRE,2026-06,SFP,24,24,0,100.0,0.0,0.0,276274797.64,276274797.64,276274797.64,276274797.63,0.0,0.01
ZARIB,2026-02,SCI,20,20,0,100.0,0.0,0.0,519329754.3,519329754.3,212800265.4,212800265.02,0.0,0.38
ZARIB,2026-02,SFP,25,25,0,100.0,0.0,0.0,3206795110.19,3206795110.18,3206795109.81,3206795110.19,0.01,-0.38
ZARIB,2026-03,SCI,20,20,0,100.0,0.0,0.0,664317251.46,664317251.46,322626397.61,322626397.23,0.0,0.38
ZARIB,2026-03,SFP,26,26,0,100.0,0.0,0.0,3717920095.33,3717920095.33,3717920094.95,3717920095.33,0.0,-0.38
ZARIB,2026-04,SCI,20,20,0,100.0,0.0,0.0,853888196.88,853888196.88,432989936.72,432989936.33,0.0,0.39
ZARIB,2026-04,SFP,26,26,0,100.0,0.0,0.0,4197953217.2,4197953217.19,4197953216.82,4197953217.18,0.01,-0.36
ZARIB,2026-05,SCI,20,20,0,100.0,0.0,0.0,907589689.75,907589689.75,502509354.84,502509354.46,0.0,0.38
ZARIB,2026-05,SFP,26,26,0,100.0,0.0,0.0,3311685790.93,3311685790.92,3311685790.37,3311685790.75,0.01,-0.38
ZARIB,2026-06,SCI,20,20,0,100.0,0.0,0.0,978818211.86,978818211.86,581595049.77,581595049.75,0.0,0.02
ZARIB,2026-06,SFP,26,26,0,100.0,0.0,0.0,3148487156.49,3148487156.48,3148487156.11,3148487156.1,0.01,0.01
ZATL,2026-02,SCI,20,20,0,100.0,0.0,0.0,2083831.02,2083831.02,1863207.03,1863207.02,0.0,0.01
ZATL,2026-02,SFP,24,24,0,100.0,0.0,0.0,9153046.38,9153046.37,9153046.38,9153046.36,0.01,0.02
ZATL,2026-03,SCI,20,20,0,100.0,0.0,0.0,5040500.92,5040500.93,3476066.17,3476066.15,-0.01,0.02
ZATL,2026-03,SFP,24,24,0,100.0,0.0,0.0,11272006.75,11272006.74,11272006.75,11272006.74,0.01,0.01
ZATL,2026-04,SCI,20,20,0,100.0,0.0,0.0,7502440.63,7502440.63,5091900.49,5091900.48,0.0,0.01
ZATL,2026-04,SFP,24,12,12,50.0,578700.46,184486.66,10895896.76,11061427.2,10895896.76,11061427.19,-165530.44,-165530.43
ZATL,2026-05,SCI,20,4,16,20.0,154737.43,85371.64,7483567.38,7398056.32,6058398.54,5989172.17,85511.06,69226.37
ZATL,2026-05,SFP,24,21,3,87.5,46527.73,23263.87,9635488.33,9642467.48,9635488.33,9642467.49,-6979.15,-6979.16
ZATL,2026-06,SCI,20,20,0,100.0,0.0,0.0,7804565.21,7804565.2,7173768.04,7173768.02,0.01,0.02
ZATL,2026-06,SFP,24,24,0,100.0,0.0,0.0,10834464.98,10834464.98,10834464.98,10834464.98,0.0,0.0
ZHL,2026-02,SCI,20,20,0,100.0,0.0,0.0,53463.6,53463.6,309773.34,309773.34,0.0,0.0
ZHL,2026-02,SFP,24,24,0,100.0,0.0,0.0,1056048016.0,1056048016.0,1056048016.0,1056048016.0,0.0,0.0
ZHL,2026-03,SCI,20,20,0,100.0,0.0,0.0,53463.6,53463.6,16300767.33,16300767.33,0.0,0.0
ZHL,2026-03,SFP,24,24,0,100.0,0.0,0.0,1033826948.4,1033826948.4,1033826948.4,1033826948.4,0.0,0.0
ZHL,2026-04,SCI,20,20,0,100.0,0.0,0.0,108739.63,108739.63,19863487.56,19863487.56,0.0,0.0
ZHL,2026-04,SFP,24,24,0,100.0,0.0,0.0,1029975282.34,1029975282.34,1029975282.34,1029975282.34,0.0,0.0
ZHL,2026-05,SCI,20,20,0,100.0,0.0,0.0,136830.73,136830.73,20750747.19,20750747.19,0.0,0.0
ZHL,2026-05,SFP,24,24,0,100.0,0.0,0.0,1028877800.65,1028877800.65,1028877800.65,1028877800.65,0.0,0.0
ZHL,2026-06,SCI,20,20,0,100.0,0.0,0.0,164015.66,164015.66,21260197.41,21260197.41,0.0,0.0
ZHL,2026-06,SFP,24,24,0,100.0,0.0,0.0,1028549702.03,1028549702.03,1028549702.03,1028549702.03,0.0,0.0
