company_name,period,local_account_no,description,accrual_local,client_column,source_tab
ZARIB,2026-06,B80110,Bonus(General provision),-22500000.0,Accrual,ZARIB TB
ZARIB,2026-06,ZARIB-BONUSES13THCHEQUE,Bonuses & 13th cheque,22500000.0,Accrual,ZARIB TB
C&P,2026-06,B80120,Fees Suspense A/c,13014144.3,Accruals,C & P
C&P,2026-06,I10067,AF Trust Fund,-1936657.97,Accruals,C & P
C&P,2026-06,B55135,accrued income,-11077486.33,released (no longer listed),
ZAAC,2026-06,B55420,due to/from malawi,-7095089.65,released (no longer listed),
ZAAC,2026-06,B55520,due to/from uganda,-355114.0,released (no longer listed),
ZAAC,2026-06,B65120,due to/from nigeria,-2129923.27,released (no longer listed),
ZAAC,2026-06,B65260,due from tanzania,-560080.67,released (no longer listed),
ZAAC,2026-06,B70160,due to /from drc,-792317.44,released (no longer listed),
